aggregate_date,place_name,region,place_type,carrier_name,aggregation_period,technology_type,sample_count,mean_download_kbps,mean_upload_kbps,mean_latency_ms,median_download_kbps,median_upload_kbps,median_latency_ms,iso_anomaly,iso_score,ocsvm_anomaly,ocsvm_score,ae_mse,ae_anomaly,ae_threshold,all_methods,download_score,upload_score,latency_score,worst_score
2026-03-01,City_69EFF64A,Cairo,locality,Operator B,Day,Multi-RAT,5,88183,22905,46,13733,10406,51,0,0.14428103917001112,0,6.091527252995135,0.0025822257478143643,0,0.007742804297153958,0,0.8670052001640887,0.726183787402422,0.16428571428571428,0.5413245518318341
2026-03-01,City_597DED92,Giza,locality,Operator A,Day,Multi-RAT,18,252981,38357,22,169358,33751,18,0,0.09190618149785024,0,2.6615973839191795,0.003275244783722315,0,0.007742804297153958,0,0.6184620906831398,0.5414639394627679,0.07857142857142857,0.3792490527372381
2026-03-01,City_597DED92,Giza,locality,Operator A,Day,5G,10,397689,44860,20,356260,30810,17,0,0.01484749843024924,0,5.012386489958978,0.0006985738826924733,0,0.007742804297153958,0,0.40021808112738594,0.4637242830330779,0.07142857142857142,0.27426066048614134
2026-03-01,City_597DED92,Giza,locality,Operator A,Day,LTE,9,83463,30287,23,62400,36233,21,0,0.10402435625986928,0,0.7820155677628264,0.008580063308541741,1,0.007742804297153958,1,0.8741237542530345,0.637936187254187,0.08214285714285714,0.5352129296282417
2026-03-01,City_597DED92,Giza,locality,Operator B,Day,Multi-RAT,26,283451,23746,26,128373,10890,16,0,0.14177782224452185,0,6.904045972261599,0.0020811342922009463,0,0.007742804297153958,0,0.5725082044352212,0.7161301120130065,0.09285714285714286,0.4000864470338326
2026-03-01,City_597DED92,Giza,locality,Operator B,Day,5G,13,473921,39157,21,397297,38733,13,1,-0.012524902220404588,0,4.202438391852077,0.00292853163055489,0,0.007742804297153958,1,0.28524739991795567,0.5319003956916235,0.075,0.2763123724388403
2026-03-01,City_597DED92,Giza,locality,Operator B,Day,LTE,13,92981,8336,30,89917,7773,16,0,0.14738489894449042,0,7.431643669242689,0.0019277484047830128,0,0.007742804297153958,0,0.8597690089524866,0.9003478739046754,0.10714285714285714,0.556120035504787
2026-03-01,City_095E7771,Dakahlia,locality,Operator A,Day,5G,32,289390,32725,20,224254,27877,18,0,0.10615173669041361,0,3.3053473689539103,0.0004450312704587567,0,0.007742804297153958,0,0.5635511932627109,0.6087912876116245,0.07142857142857142,0.36860730625598065
2026-03-01,City_095E7771,Dakahlia,locality,Operator A,Day,LTE,41,54256,13073,34,33976,7226,27,0,0.18272872034092835,0,7.738010161646962,3.954864740827729e-05,0,0.007742804297153958,0,0.9181728240148646,0.8437197403497866,0.12142857142857143,0.5724416491044746
2026-03-01,City_6E6D448F,Giza,locality,Operator A,Day,Multi-RAT,10,144674,13669,32,112742,10269,25,0,0.1613716438325396,0,9.58367329760155,0.0013251918592662659,0,0.007742804297153958,0,0.7818072681643783,0.836594900240284,0.11428571428571428,0.5143276015995224
2026-03-01,City_6E6D448F,Giza,locality,Operator A,Day,LTE,7,122435,16491,35,68475,17387,27,0,0.16714022473592055,0,9.880284067198993,8.162760370629856e-05,0,0.007742804297153958,0,0.8153474216355783,0.8028594995875722,0.125,0.5242108685717457
2026-03-01,City_6E6D448F,Giza,locality,Operator B,Day,Multi-RAT,6,181851,25468,18,179230,27006,17,0,0.12613793498046272,0,2.995785133564553,0.0011593059468708391,0,0.007742804297153958,0,0.7257380975362564,0.6955445840456181,0.06428571428571428,0.44868987010934047
